Fecha,Precio de venta,Tipo de dólar
06/03/2013 12:00:00 a.m.,"5,08",Oficial
06/03/2013 12:00:00 a.m.,"7,83",Informal (Blue)
07/03/2013 12:00:00 a.m.,"5,085",Oficial
07/03/2013 12:00:00 a.m.,"7,82",Informal (Blue)
08/03/2013 12:00:00 a.m.,"5,085",Oficial
08/03/2013 12:00:00 a.m.,"7,83",Informal (Blue)
11/03/2013 12:00:00 a.m.,"5,085",Oficial
11/03/2013 12:00:00 a.m.,"7,82",Informal (Blue)
12/03/2013 12:00:00 a.m.,"5,085",Oficial
12/03/2013 12:00:00 a.m.,"7,85",Informal (Blue)
13/03/2013 12:00:00 a.m.,"5,085",Oficial
13/03/2013 12:00:00 a.m.,"7,92",Informal (Blue)
14/03/2013 12:00:00 a.m.,"5,085",Oficial
14/03/2013 12:00:00 a.m.,"7,99",Informal (Blue)
15/03/2013 12:00:00 a.m.,"5,085",Oficial
15/03/2013 12:00:00 a.m.,"8,05",Informal (Blue)
18/03/2013 12:00:00 a.m.,"5,085",Oficial
18/03/2013 12:00:00 a.m.,"8,08",Informal (Blue)
19/03/2013 12:00:00 a.m.,"5,085",Oficial
19/03/2013 12:00:00 a.m.,"8,27",Informal (Blue)
20/03/2013 12:00:00 a.m.,"5,1",Oficial
20/03/2013 12:00:00 a.m.,"8,75",Informal (Blue)
21/03/2013 12:00:00 a.m.,"5,1",Oficial
21/03/2013 12:00:00 a.m.,"8,45",Informal (Blue)
22/03/2013 12:00:00 a.m.,"5,11",Oficial
22/03/2013 12:00:00 a.m.,"8,48",Informal (Blue)
25/03/2013 12:00:00 a.m.,"5,12",Oficial
25/03/2013 12:00:00 a.m.,"8,27",Informal (Blue)
26/03/2013 12:00:00 a.m.,"5,13",Oficial
26/03/2013 12:00:00 a.m.,"8,47",Informal (Blue)
27/03/2013 12:00:00 a.m.,"5,13",Oficial
27/03/2013 12:00:00 a.m.,"8,3",Informal (Blue)
03/04/2013 12:00:00 a.m.,"5,14",Oficial
03/04/2013 12:00:00 a.m.,"8,3",Informal (Blue)
04/04/2013 12:00:00 a.m.,"5,14",Oficial
04/04/2013 12:00:00 a.m.,"8,32",Informal (Blue)
05/04/2013 12:00:00 a.m.,"5,14",Oficial
05/04/2013 12:00:00 a.m.,"8,4",Informal (Blue)
08/04/2013 12:00:00 a.m.,"5,145",Oficial
08/04/2013 12:00:00 a.m.,"8,33",Informal (Blue)
09/04/2013 12:00:00 a.m.,"5,145",Oficial
09/04/2013 12:00:00 a.m.,"8,37",Informal (Blue)
10/04/2013 12:00:00 a.m.,"5,15",Oficial
10/04/2013 12:00:00 a.m.,"8,39",Informal (Blue)
11/04/2013 12:00:00 a.m.,"5,155",Oficial
11/04/2013 12:00:00 a.m.,"8,44",Informal (Blue)
12/04/2013 12:00:00 a.m.,"5,155",Oficial
12/04/2013 12:00:00 a.m.,"8,43",Informal (Blue)
15/04/2013 12:00:00 a.m.,"5,16",Oficial
15/04/2013 12:00:00 a.m.,"8,42",Informal (Blue)
16/04/2013 12:00:00 a.m.,"5,17",Oficial
16/04/2013 12:00:00 a.m.,"8,52",Informal (Blue)
17/04/2013 12:00:00 a.m.,"5,17",Oficial
17/04/2013 12:00:00 a.m.,"8,7",Informal (Blue)
18/04/2013 12:00:00 a.m.,"5,17",Oficial
18/04/2013 12:00:00 a.m.,"8,66",Informal (Blue)
19/04/2013 12:00:00 a.m.,"5,17",Oficial
19/04/2013 12:00:00 a.m.,"8,63",Informal (Blue)
22/04/2013 12:00:00 a.m.,"5,175",Oficial
22/04/2013 12:00:00 a.m.,"8,67",Informal (Blue)
23/04/2013 12:00:00 a.m.,"5,175",Oficial
23/04/2013 12:00:00 a.m.,"8,86",Informal (Blue)
24/04/2013 12:00:00 a.m.,"5,185",Oficial
24/04/2013 12:00:00 a.m.,"8,94",Informal (Blue)
25/04/2013 12:00:00 a.m.,"5,185",Oficial
25/04/2013 12:00:00 a.m.,"9,2",Informal (Blue)
26/04/2013 12:00:00 a.m.,"5,19",Oficial
26/04/2013 12:00:00 a.m.,"9,34",Informal (Blue)
29/04/2013 12:00:00 a.m.,"5,19",Oficial
29/04/2013 12:00:00 a.m.,"9,3",Informal (Blue)
30/04/2013 12:00:00 a.m.,"5,19",Oficial
30/04/2013 12:00:00 a.m.,"9,4",Informal (Blue)
02/05/2013 12:00:00 a.m.,"5,2",Oficial
02/05/2013 12:00:00 a.m.,"9,63",Informal (Blue)
03/05/2013 12:00:00 a.m.,"5,21",Oficial
03/05/2013 12:00:00 a.m.,"9,88",Informal (Blue)
06/05/2013 12:00:00 a.m.,"5,22",Oficial
06/05/2013 12:00:00 a.m.,"9,87",Informal (Blue)
07/05/2013 12:00:00 a.m.,"5,22",Oficial
07/05/2013 12:00:00 a.m.,"10,08",Informal (Blue)
08/05/2013 12:00:00 a.m.,"5,225",Oficial
08/05/2013 12:00:00 a.m.,"10,45",Informal (Blue)
09/05/2013 12:00:00 a.m.,"5,23",Oficial
09/05/2013 12:00:00 a.m.,"10,03",Informal (Blue)
10/05/2013 12:00:00 a.m.,"5,24",Oficial
10/05/2013 12:00:00 a.m.,"10,03",Informal (Blue)
13/05/2013 12:00:00 a.m.,"5,25",Oficial
13/05/2013 12:00:00 a.m.,"10,03",Informal (Blue)
14/05/2013 12:00:00 a.m.,"5,25",Oficial
